date,industry,oph,gva,hours
1971,WE,46.7064,38.2912,81.9828
1972,WE,48.063,39.9778,83.178
1973,WE,50.3943,42.7796,84.8898
1974,WE,49.5305,41.8158,84.4244
1975,WE,49.8243,41.1926,82.6758
1976,WE,51.692,42.3199,81.8693
1977,WE,52.4612,43.2255,82.395
1978,WE,53.9633,44.723,82.8768
1979,WE,55.17,46.1282,83.6111
1980,WE,55.1268,45.1329,81.871
1981,WE,57.5279,44.9342,78.1085
1982,WE,60.0737,45.9062,76.4166
1983,WE,63.0419,47.6601,75.6006
1984,WE,62.4202,48.3728,77.4953
1985,WE,63.8742,50.1924,78.5801
1986,WE,65.2262,51.418,78.8303
1987,WE,67.0489,54.056,80.6217
1988,WE,67.8744,56.7561,83.6193
1989,WE,67.5518,58.0827,85.9825
1990,WE,68.5068,58.7501,85.7581
1991,WE,70.5462,58.0459,82.2807
1992,WE,72.7996,58.2639,80.0332
1993,WE,75.2148,59.4976,79.1035
1994,WE,76.6173,61.4561,80.2118
1995,WE,77.0545,62.6435,81.2977
1996,WE,77.5552,63.6186,82.03
1997,WE,78.1976,65.2601,83.4554
1998,WE,80.0374,67.3092,84.0971
1999,WE,81.8337,69.4349,84.8488
2000,WE,85.0301,72.3169,85.0486
2001,WE,85.9451,73.8351,85.9097
2002,WE,87.4419,74.9691,85.7359
2003,WE,89.7768,77.3117,86.1155
2004,WE,90.8762,78.991,86.9216
2005,WE,92.3272,81.2962,88.0523
2006,WE,93.8227,83.1514,88.6261
2007,WE,95.3444,85.2923,89.457
2008,WE,94.8875,85.3267,89.9241
2009,WE,93.325,81.486,87.3142
2010,WE,95.226,83.6002,87.7914
2011,WE,96.0193,84.5515,88.0567
2012,WE,95.7051,85.9807,89.8392
2013,WE,95.6003,87.4645,91.4898
2014,WE,96.0487,90.3004,94.0152
2015,WE,96.6519,92.2726,95.4689
2016,WE,97.5276,94.3733,96.7658
2017,WE,98.9243,96.7413,97.7933
2018,WE,99.6801,98.3037,98.6192
2019,WE,100.0,100.0,100.0
2020,WE,99.9551,89.4297,89.4699
2021,WE,101.1445,96.4908,95.399
